INSERT ALL 
 INTO PSE1.DownloadsVALUES ('1', '25-06-2018', '617', '155') 
 INTO PSE1.DownloadsVALUES ('149', '30-03-2018', '237', '16') 
 INTO PSE1.DownloadsVALUES ('150', '02-11-2018', '150', '103') 
 INTO PSE1.DownloadsVALUES ('151', '23-10-2019', '108', '347') 
 INTO PSE1.DownloadsVALUES ('152', '02-07-2018', '596', '449') 
 INTO PSE1.DownloadsVALUES ('153', '14-08-2019', '239', '230') 
 INTO PSE1.DownloadsVALUES ('154', '30-07-2019', '745', '469') 
 INTO PSE1.DownloadsVALUES ('155', '22-08-2019', '951', '287') 
 INTO PSE1.DownloadsVALUES ('156', '02-10-2018', '129', '132') 
 INTO PSE1.DownloadsVALUES ('157', '14-10-2018', '837', '158') 
 INTO PSE1.DownloadsVALUES ('158', '13-10-2018', '612', '72') 
 INTO PSE1.DownloadsVALUES ('159', '22-10-2018', '561', '262') 
 INTO PSE1.DownloadsVALUES ('160', '24-05-2018', '270', '473') 
 INTO PSE1.DownloadsVALUES ('161', '17-07-2019', '210', '256') 
 INTO PSE1.DownloadsVALUES ('162', '23-04-2018', '905', '59') 
 INTO PSE1.DownloadsVALUES ('163', '25-03-2018', '441', '55') 
 INTO PSE1.DownloadsVALUES ('164', '17-11-2018', '408', '163') 
 INTO PSE1.DownloadsVALUES ('165', '02-04-2019', '661', '186') 
 INTO PSE1.DownloadsVALUES ('166', '26-11-2018', '418', '545') 
 INTO PSE1.DownloadsVALUES ('167', '09-10-2019', '853', '605') 
 INTO PSE1.DownloadsVALUES ('168', '09-08-2018', '574', '469') 
 INTO PSE1.DownloadsVALUES ('169', '22-03-2018', '301', '74') 
 INTO PSE1.DownloadsVALUES ('170', '10-12-2018', '245', '20') 
 INTO PSE1.DownloadsVALUES ('171', '30-04-2019', '528', '383') 
 INTO PSE1.DownloadsVALUES ('172', '06-05-2019', '322', '616') 
 INTO PSE1.DownloadsVALUES ('173', '16-11-2018', '149', '289') 
 INTO PSE1.DownloadsVALUES ('174', '29-10-2018', '822', '462') 
 INTO PSE1.DownloadsVALUES ('175', '19-11-2018', '452', '233') 
 INTO PSE1.DownloadsVALUES ('176', '17-01-2019', '454', '164') 
 INTO PSE1.DownloadsVALUES ('177', '28-06-2018', '164', '330') 
 INTO PSE1.DownloadsVALUES ('178', '03-05-2018', '405', '491') 
 INTO PSE1.DownloadsVALUES ('179', '06-06-2018', '474', '602') 
 INTO PSE1.DownloadsVALUES ('180', '08-10-2018', '787', '441') 
 INTO PSE1.DownloadsVALUES ('181', '03-09-2019', '446', '417') 
 INTO PSE1.DownloadsVALUES ('182', '08-04-2019', '25', '307') 
 INTO PSE1.DownloadsVALUES ('183', '28-12-2018', '673', '280') 
 INTO PSE1.DownloadsVALUES ('184', '10-01-2019', '345', '443') 
 INTO PSE1.DownloadsVALUES ('185', '27-09-2019', '42', '404') 
 INTO PSE1.DownloadsVALUES ('186', '08-10-2018', '122', '149') 
 INTO PSE1.DownloadsVALUES ('187', '26-11-2018', '171', '56') 
 INTO PSE1.DownloadsVALUES ('188', '03-05-2018', '33', '602') 
 INTO PSE1.DownloadsVALUES ('189', '09-08-2018', '76', '321') 
 INTO PSE1.DownloadsVALUES ('190', '20-12-2019', '99', '471') 
 INTO PSE1.DownloadsVALUES ('191', '09-12-2018', '888', '392') 
 INTO PSE1.DownloadsVALUES ('192', '27-06-2019', '864', '609') 
 INTO PSE1.DownloadsVALUES ('193', '05-08-2019', '623', '65') 
 INTO PSE1.DownloadsVALUES ('194', '17-12-2018', '824', '597') 
 INTO PSE1.DownloadsVALUES ('195', '17-11-2018', '514', '81') 
 INTO PSE1.DownloadsVALUES ('196', '07-12-2019', '721', '353') 
 INTO PSE1.DownloadsVALUES ('197', '15-08-2018', '435', '579') 
 INTO PSE1.DownloadsVALUES ('198', '26-11-2019', '85', '303') 
 INTO PSE1.DownloadsVALUES ('199', '02-04-2018', '136', '329') 
 INTO PSE1.DownloadsVALUES ('200', '24-08-2019', '98', '470') 
 INTO PSE1.DownloadsVALUES ('201', '21-01-2018', '853', '247') 
 INTO PSE1.DownloadsVALUES ('202', '09-08-2019', '738', '371') 
 INTO PSE1.DownloadsVALUES ('203', '15-10-2018', '596', '155') 
 INTO PSE1.DownloadsVALUES ('204', '14-03-2019', '884', '210') 
 INTO PSE1.DownloadsVALUES ('205', '16-03-2018', '793', '247') 
 INTO PSE1.DownloadsVALUES ('206', '08-08-2018', '773', '225') 
 INTO PSE1.DownloadsVALUES ('207', '28-12-2018', '514', '337') 
 INTO PSE1.DownloadsVALUES ('208', '24-08-2018', '443', '185') 
 INTO PSE1.DownloadsVALUES ('209', '12-05-2018', '160', '353') 
 INTO PSE1.DownloadsVALUES ('210', '08-05-2019', '343', '279') 
 INTO PSE1.DownloadsVALUES ('211', '26-11-2018', '663', '373') 
 INTO PSE1.DownloadsVALUES ('212', '01-03-2019', '744', '429') 
 INTO PSE1.DownloadsVALUES ('213', '13-09-2018', '279', '221') 
 INTO PSE1.DownloadsVALUES ('214', '17-01-2019', '121', '630') 
 INTO PSE1.DownloadsVALUES ('215', '02-07-2018', '356', '83') 
 INTO PSE1.DownloadsVALUES ('216', '10-11-2018', '112', '71') 
 INTO PSE1.DownloadsVALUES ('217', '13-01-2019', '202', '106') 
 INTO PSE1.DownloadsVALUES ('218', '26-01-2019', '668', '286') 
 INTO PSE1.DownloadsVALUES ('219', '09-04-2019', '115', '76') 
 INTO PSE1.DownloadsVALUES ('220', '12-08-2018', '766', '534') 
 INTO PSE1.DownloadsVALUES ('221', '03-01-2019', '931', '212') 
 INTO PSE1.DownloadsVALUES ('222', '29-11-2019', '87', '79') 
 INTO PSE1.DownloadsVALUES ('223', '12-01-2018', '55', '270') 
 INTO PSE1.DownloadsVALUES ('224', '30-08-2018', '649', '410') 
 INTO PSE1.DownloadsVALUES ('225', '05-07-2019', '668', '5') 
 INTO PSE1.DownloadsVALUES ('226', '31-08-2019', '627', '147') 
 INTO PSE1.DownloadsVALUES ('227', '24-08-2019', '15', '151') 
 INTO PSE1.DownloadsVALUES ('228', '13-03-2019', '909', '564') 
 INTO PSE1.DownloadsVALUES ('229', '21-12-2018', '919', '529') 
 INTO PSE1.DownloadsVALUES ('230', '23-02-2019', '882', '236') 
 INTO PSE1.DownloadsVALUES ('231', '10-10-2019', '736', '339') 
 INTO PSE1.DownloadsVALUES ('232', '09-07-2018', '693', '101') 
 INTO PSE1.DownloadsVALUES ('233', '21-07-2018', '92', '529') 
 INTO PSE1.DownloadsVALUES ('234', '12-02-2018', '95', '51') 
 INTO PSE1.DownloadsVALUES ('235', '12-06-2018', '721', '263') 
 INTO PSE1.DownloadsVALUES ('236', '08-01-2019', '130', '44') 
 INTO PSE1.DownloadsVALUES ('237', '06-06-2018', '60', '416') 
 INTO PSE1.DownloadsVALUES ('238', '03-10-2018', '287', '117') 
 INTO PSE1.DownloadsVALUES ('239', '08-12-2018', '288', '572') 
 INTO PSE1.DownloadsVALUES ('240', '23-04-2019', '274', '503') 
 INTO PSE1.DownloadsVALUES ('241', '24-10-2019', '640', '593') 
 INTO PSE1.DownloadsVALUES ('242', '21-05-2018', '607', '149') 
 INTO PSE1.DownloadsVALUES ('243', '12-01-2018', '448', '209') 
 INTO PSE1.DownloadsVALUES ('244', '10-10-2018', '438', '330') 
 INTO PSE1.DownloadsVALUES ('245', '22-03-2018', '287', '215') 
 INTO PSE1.DownloadsVALUES ('246', '30-12-2020', '771', '312') 
 INTO PSE1.DownloadsVALUES ('247', '28-11-2019', '491', '99') 
 INTO PSE1.DownloadsVALUES ('248', '07-02-2019', '371', '168') 
 INTO PSE1.DownloadsVALUES ('249', '10-09-2019', '761', '332') 
 INTO PSE1.DownloadsVALUES ('250', '02-06-2019', '790', '361') 
 INTO PSE1.DownloadsVALUES ('251', '20-10-2018', '278', '42') 
 INTO PSE1.DownloadsVALUES ('252', '23-04-2019', '630', '497') 
 INTO PSE1.DownloadsVALUES ('253', '21-04-2018', '507', '593') 
 INTO PSE1.DownloadsVALUES ('254', '29-11-2019', '923', '4') 
 INTO PSE1.DownloadsVALUES ('255', '18-06-2018', '440', '123') 
 INTO PSE1.DownloadsVALUES ('256', '01-12-2018', '687', '488') 
 INTO PSE1.DownloadsVALUES ('257', '23-01-2018', '170', '63') 
 INTO PSE1.DownloadsVALUES ('258', '27-02-2018', '790', '230') 
 INTO PSE1.DownloadsVALUES ('259', '02-03-2019', '525', '168') 
 INTO PSE1.DownloadsVALUES ('260', '13-09-2018', '242', '528') 
 INTO PSE1.DownloadsVALUES ('261', '04-02-2018', '488', '24') 
 INTO PSE1.DownloadsVALUES ('262', '30-06-2019', '578', '392') 
 INTO PSE1.DownloadsVALUES ('263', '24-07-2019', '32', '241') 
 INTO PSE1.DownloadsVALUES ('264', '06-02-2018', '851', '136') 
 INTO PSE1.DownloadsVALUES ('265', '23-09-2018', '739', '595') 
 INTO PSE1.DownloadsVALUES ('266', '02-04-2019', '145', '432') 
 INTO PSE1.DownloadsVALUES ('267', '08-03-2019', '580', '148') 
 INTO PSE1.DownloadsVALUES ('268', '18-08-2019', '742', '537') 
 INTO PSE1.DownloadsVALUES ('269', '25-01-2019', '431', '93') 
 INTO PSE1.DownloadsVALUES ('270', '23-06-2019', '58', '205') 
 INTO PSE1.DownloadsVALUES ('271', '14-07-2019', '183', '409') 
 INTO PSE1.DownloadsVALUES ('272', '27-09-2019', '341', '521') 
 INTO PSE1.DownloadsVALUES ('273', '21-10-2018', '371', '467') 
 INTO PSE1.DownloadsVALUES ('274', '31-05-2019', '237', '591') 
 INTO PSE1.DownloadsVALUES ('275', '31-01-2018', '682', '402') 
 INTO PSE1.DownloadsVALUES ('276', '29-09-2019', '754', '4') 
 INTO PSE1.DownloadsVALUES ('277', '14-12-2018', '416', '432') 
 INTO PSE1.DownloadsVALUES ('278', '16-12-2018', '477', '573') 
 INTO PSE1.DownloadsVALUES ('279', '20-04-2019', '318', '441') 
 INTO PSE1.DownloadsVALUES ('280', '20-12-2018', '914', '568') 
 INTO PSE1.DownloadsVALUES ('281', '17-03-2019', '315', '55') 
 INTO PSE1.DownloadsVALUES ('282', '06-05-2019', '836', '412') 
 INTO PSE1.DownloadsVALUES ('283', '25-06-2018', '606', '466') 
 INTO PSE1.DownloadsVALUES ('284', '07-07-2018', '750', '460') 
 INTO PSE1.DownloadsVALUES ('285', '14-10-2019', '885', '439') 
 INTO PSE1.DownloadsVALUES ('286', '29-12-2019', '40', '181') 
 INTO PSE1.DownloadsVALUES ('287', '08-12-2018', '506', '355') 
 INTO PSE1.DownloadsVALUES ('288', '16-05-2018', '898', '500') 
 INTO PSE1.DownloadsVALUES ('289', '20-10-2019', '741', '219') 
 INTO PSE1.DownloadsVALUES ('290', '24-06-2018', '657', '379') 
 INTO PSE1.DownloadsVALUES ('291', '13-07-2019', '938', '156') 
 INTO PSE1.DownloadsVALUES ('292', '02-10-2019', '274', '597') 
 INTO PSE1.DownloadsVALUES ('293', '25-05-2019', '356', '438') 
 INTO PSE1.DownloadsVALUES ('294', '03-04-2018', '103', '332') 
 INTO PSE1.DownloadsVALUES ('295', '03-03-2019', '746', '117') 
 INTO PSE1.DownloadsVALUES ('296', '04-04-2018', '569', '623') 
 INTO PSE1.DownloadsVALUES ('297', '27-06-2018', '82', '335') 
 INTO PSE1.DownloadsVALUES ('298', '20-03-2018', '750', '20') 
 INTO PSE1.DownloadsVALUES ('299', '27-06-2018', '8', '478') 
 INTO PSE1.DownloadsVALUES ('300', '26-05-2018', '111', '596') 
 INTO PSE1.DownloadsVALUES ('301', '05-09-2019', '918', '441') 
 INTO PSE1.DownloadsVALUES ('302', '22-01-2018', '380', '532') 
 INTO PSE1.DownloadsVALUES ('303', '07-12-2019', '607', '470') 
 INTO PSE1.DownloadsVALUES ('304', '13-08-2018', '244', '189') 
 INTO PSE1.DownloadsVALUES ('305', '26-08-2019', '698', '439') 
 INTO PSE1.DownloadsVALUES ('306', '11-10-2019', '842', '284') 
 INTO PSE1.DownloadsVALUES ('307', '06-04-2019', '55', '45') 
 INTO PSE1.DownloadsVALUES ('308', '26-07-2018', '176', '319') 
 INTO PSE1.DownloadsVALUES ('309', '03-12-2019', '107', '82') 
 INTO PSE1.DownloadsVALUES ('310', '06-05-2018', '97', '586') 
 INTO PSE1.DownloadsVALUES ('311', '17-02-2019', '766', '472') 
 INTO PSE1.DownloadsVALUES ('312', '27-09-2018', '420', '433') 
 INTO PSE1.DownloadsVALUES ('313', '01-02-2019', '79', '53') 
 INTO PSE1.DownloadsVALUES ('314', '30-03-2018', '659', '170') 
 INTO PSE1.DownloadsVALUES ('315', '06-08-2019', '679', '569') 
 INTO PSE1.DownloadsVALUES ('316', '26-11-2018', '603', '243') 
 INTO PSE1.DownloadsVALUES ('317', '23-04-2018', '867', '447') 
 INTO PSE1.DownloadsVALUES ('318', '13-03-2018', '249', '297') 
 INTO PSE1.DownloadsVALUES ('319', '16-11-2018', '708', '243') 
 INTO PSE1.DownloadsVALUES ('320', '24-10-2018', '280', '553') 
 INTO PSE1.DownloadsVALUES ('321', '21-01-2019', '416', '73') 
 INTO PSE1.DownloadsVALUES ('322', '27-01-2018', '818', '279') 
 INTO PSE1.DownloadsVALUES ('323', '14-02-2019', '796', '627') 
 INTO PSE1.DownloadsVALUES ('324', '12-02-2018', '905', '25') 
 INTO PSE1.DownloadsVALUES ('325', '17-02-2019', '375', '203') 
 INTO PSE1.DownloadsVALUES ('326', '27-07-2019', '449', '631') 
 INTO PSE1.DownloadsVALUES ('327', '20-02-2018', '372', '525') 
 INTO PSE1.DownloadsVALUES ('328', '22-09-2018', '908', '588') 
 INTO PSE1.DownloadsVALUES ('329', '04-04-2019', '209', '545') 
 INTO PSE1.DownloadsVALUES ('330', '10-07-2019', '271', '317') 
 INTO PSE1.DownloadsVALUES ('331', '31-12-2019', '46', '143') 
 INTO PSE1.DownloadsVALUES ('332', '03-07-2018', '58', '239') 
 INTO PSE1.DownloadsVALUES ('333', '14-02-2018', '153', '543') 
 INTO PSE1.DownloadsVALUES ('334', '05-04-2018', '371', '170') 
 INTO PSE1.DownloadsVALUES ('335', '30-06-2018', '259', '11') 
 INTO PSE1.DownloadsVALUES ('336', '13-11-2018', '340', '393') 
 INTO PSE1.DownloadsVALUES ('337', '23-08-2018', '249', '38') 
 INTO PSE1.DownloadsVALUES ('338', '15-03-2018', '163', '200') 
 INTO PSE1.DownloadsVALUES ('339', '23-09-2018', '739', '273') 
 INTO PSE1.DownloadsVALUES ('340', '07-01-2018', '3', '184') 
 INTO PSE1.DownloadsVALUES ('341', '23-01-2019', '24', '213') 
 INTO PSE1.DownloadsVALUES ('342', '18-09-2019', '783', '458') 
 INTO PSE1.DownloadsVALUES ('343', '02-08-2019', '401', '24') 
 INTO PSE1.DownloadsVALUES ('344', '29-08-2018', '538', '156') 
 INTO PSE1.DownloadsVALUES ('345', '02-11-2018', '895', '205') 
 INTO PSE1.DownloadsVALUES ('346', '19-05-2018', '533', '283') 
 INTO PSE1.DownloadsVALUES ('347', '03-10-2019', '221', '490') 
 INTO PSE1.DownloadsVALUES ('348', '20-05-2019', '18', '207') 
 INTO PSE1.DownloadsVALUES ('349', '12-10-2019', '855', '35') 
 INTO PSE1.DownloadsVALUES ('350', '20-12-2018', '153', '190') 
 INTO PSE1.DownloadsVALUES ('351', '16-07-2019', '218', '404') 
 INTO PSE1.DownloadsVALUES ('352', '29-07-2018', '681', '475') 
 INTO PSE1.DownloadsVALUES ('353', '21-09-2018', '534', '608') 
 INTO PSE1.DownloadsVALUES ('354', '22-01-2019', '308', '175') 
 INTO PSE1.DownloadsVALUES ('355', '12-06-2018', '419', '465') 
 INTO PSE1.DownloadsVALUES ('356', '12-07-2018', '885', '493') 
 INTO PSE1.DownloadsVALUES ('357', '19-09-2019', '485', '93') 
 INTO PSE1.DownloadsVALUES ('358', '10-10-2019', '786', '505') 
 INTO PSE1.DownloadsVALUES ('359', '30-10-2018', '958', '370') 
 INTO PSE1.DownloadsVALUES ('360', '12-08-2019', '944', '466') 
 INTO PSE1.DownloadsVALUES ('361', '28-03-2019', '791', '628') 
 INTO PSE1.DownloadsVALUES ('362', '01-06-2018', '902', '625') 
 INTO PSE1.DownloadsVALUES ('363', '05-09-2018', '266', '290') 
 INTO PSE1.DownloadsVALUES ('364', '20-07-2019', '62', '312') 
 INTO PSE1.DownloadsVALUES ('365', '17-01-2018', '753', '204') 
 INTO PSE1.DownloadsVALUES ('366', '01-06-2018', '737', '259') 
