INSERT ALL 
 INTO PSE1.Kunde VALUES ('0' , 'Samuel', 'Moore', 'Sixth Street', '83', '20472', 'Aachen', '02-07-2019', 'm', '6', '16-11-1956') 
 INTO PSE1.Kunde VALUES ('12' , 'Nora', 'Martinez', 'Elm Street', '23', '96681', 'Freiburg im Breisgau', '26-02-2019', 'm', '7', '25-07-1971') 
 INTO PSE1.Kunde VALUES ('13' , 'Caleb', 'Garcia', 'Oak Street', '19', '84352', 'Magdeburg', '14-12-2019', 'm', '1', '08-04-1979') 
 INTO PSE1.Kunde VALUES ('14' , 'Chloe', 'Johnson', 'Second Street', '42', '93258', 'Solingen', '04-08-2019', 'f', '10', '08-12-2004') 
 INTO PSE1.Kunde VALUES ('15' , 'Aria', 'Rodriguez', 'Maple Street', '71', '28677', 'Munich', '03-01-2019', 'm', '7', '23-05-1950') 
 INTO PSE1.Kunde VALUES ('16' , 'Everly', 'Miller', 'Pine Street', '11', '65631', 'Kiel', '18-08-2019', 'm', '1', '12-07-1983') 
 INTO PSE1.Kunde VALUES ('17' , 'Ariana', 'Miller', 'Oak Street', '35', '86262', 'Berlin', '26-11-2019', 'f', '13', '22-03-1997') 
 INTO PSE1.Kunde VALUES ('18' , 'Harper', 'Thomas', 'Park Street', '2', '18322', 'Mülheim an der Ruhr', '06-10-2019', 'f', '2', '28-02-1969') 
 INTO PSE1.Kunde VALUES ('19' , 'Isabella', 'Martinez', 'Sixth Street', '3', '30961', 'Kassel', '19-10-2019', 'f', '7', '28-09-1955') 
 INTO PSE1.Kunde VALUES ('20' , 'Carter', 'Perez', 'First Street', '81', '56078', 'Lübeck', '16-11-2019', 'f', '2', '29-01-1953') 
 INTO PSE1.Kunde VALUES ('21' , 'Levi', 'White', 'Maple Street', '50', '84084', 'Bielefeld', '04-02-2019', 'f', '1', '23-10-1981') 
 INTO PSE1.Kunde VALUES ('22' , 'Maya', 'Brown', 'Main Street', '41', '30137', 'Saarbrücken', '29-06-2019', 'f', '2', '17-10-1965') 
 INTO PSE1.Kunde VALUES ('23' , 'Paisley', 'Taylor', 'Seventh Street', '15', '55338', 'Leipzig', '14-11-2019', 'f', '1', '15-11-1992') 
 INTO PSE1.Kunde VALUES ('24' , 'Asher', 'Anderson', 'Fifth Street', '61', '74943', 'Essen', '11-03-2019', 'f', '2', '03-04-1950') 
 INTO PSE1.Kunde VALUES ('25' , 'Owen', 'Martinez', 'Fourth Street', '34', '93959', 'Magdeburg', '04-12-2019', 'm', '10', '09-07-2004') 
 INTO PSE1.Kunde VALUES ('26' , 'Mason', 'Hernandez', 'Washington Street', '33', '18926', 'Freiburg im Breisgau', '10-05-2019', 'f', '13', '07-07-1950') 
 INTO PSE1.Kunde VALUES ('27' , 'Aurora', 'Williams', 'Main Street', '47', '17189', 'Hamm', '31-07-2019', 'f', '7', '09-02-1987') 
 INTO PSE1.Kunde VALUES ('28' , 'Aurora', 'Perez', 'Fifth Street', '58', '12674', 'Solingen', '12-03-2019', 'f', '2', '14-04-1978') 
 INTO PSE1.Kunde VALUES ('29' , 'Mila', 'Robinson', 'Washington Street', '92', '21720', 'Kiel', '29-01-2019', 'm', '11', '22-06-2005') 
 INTO PSE1.Kunde VALUES ('30' , 'Mila', 'Lewis', 'Park Street', '86', '38512', 'Mülheim an der Ruhr', '21-01-2019', 'm', '6', '29-01-1957') 
 INTO PSE1.Kunde VALUES ('31' , 'Jayden', 'Harris', 'Maple Street', '2', '98673', 'Osnabrück', '02-12-2019', 'm', '7', '26-10-1961') 
 INTO PSE1.Kunde VALUES ('32' , 'Matthew', 'Davis', 'Seventh Street', '11', '94904', 'Bielefeld', '07-10-2019', 'm', '1', '14-10-1998') 
 INTO PSE1.Kunde VALUES ('33' , 'Jacob', 'Rodriguez', 'View Street', '48', '13019', 'Stuttgart', '25-12-2019', 'm', '4', '01-01-1992') 
 INTO PSE1.Kunde VALUES ('34' , 'Michael', 'Martin', 'View Street', '2', '92670', 'Kassel', '14-10-2019', 'f', '11', '04-06-1984') 
 INTO PSE1.Kunde VALUES ('35' , 'Lily', 'Perez', 'Sixth Street', '70', '26210', 'Freiburg im Breisgau', '30-09-2019', 'f', '3', '20-03-2003') 
 INTO PSE1.Kunde VALUES ('36' , 'Samuel', 'Martinez', 'Main Street', '34', '67762', 'Mönchengladbach', '16-06-2019', 'f', '11', '26-12-1957') 
 INTO PSE1.Kunde VALUES ('37' , 'Madison', 'Walker', 'Eighth Street', '42', '35686', 'Nuremberg', '09-10-2019', 'f', '3', '08-11-1994') 
 INTO PSE1.Kunde VALUES ('38' , 'James', 'White', 'Fourth Street', '22', '86906', 'Lübeck', '25-01-2019', 'f', '9', '18-10-1962') 
 INTO PSE1.Kunde VALUES ('39' , 'Samuel', 'Walker', 'Sixth Street', '2', '71254', 'Augsburg', '25-01-2019', 'm', '8', '19-12-1973') 
 INTO PSE1.Kunde VALUES ('40' , 'Caden', 'Gonzalez', 'Lake Street', '82', '94648', 'Solingen', '21-03-2019', 'm', '7', '11-06-1966') 
 INTO PSE1.Kunde VALUES ('41' , 'Luke', 'Jones', 'Third Street', '51', '91479', 'Ludwigshafen am Rhein', '22-12-2019', 'm', '2', '17-09-1968') 
 INTO PSE1.Kunde VALUES ('42' , 'Caden', 'Robinson', 'Second Street', '59', '69291', 'Nuremberg', '03-01-2019', 'm', '7', '07-08-1963') 
 INTO PSE1.Kunde VALUES ('43' , 'Emilia', 'Clark', 'Maple Street', '99', '54362', 'Ludwigshafen am Rhein', '17-06-2019', 'm', '1', '20-07-1962') 
 INTO PSE1.Kunde VALUES ('44' , 'Lila', 'Perez', 'Second Street', '40', '74275', 'Dortmund', '07-05-2019', 'm', '3', '23-03-1976') 
 INTO PSE1.Kunde VALUES ('45' , 'Jayden', 'Lewis', 'Third Street', '53', '66754', 'Leipzig', '02-03-2019', 'f', '2', '14-10-1963') 
 INTO PSE1.Kunde VALUES ('46' , 'Scarlett', 'Walker', 'Elm Street', '84', '78427', 'Frankfurt am Main', '02-04-2019', 'm', '7', '08-11-2000') 
 INTO PSE1.Kunde VALUES ('47' , 'Isaiah', 'Moore', 'Ninth Street', '2', '55841', 'Halle', '27-01-2019', 'f', '12', '06-05-1999') 
 INTO PSE1.Kunde VALUES ('48' , 'Ella', 'Taylor', 'Elm Street', '6', '58080', 'Karlsruhe', '17-12-2019', 'm', '6', '03-06-1960') 
 INTO PSE1.Kunde VALUES ('49' , 'Charlie', 'Thompson', 'First Street', '92', '36708', 'Dortmund', '24-12-2019', 'f', '7', '26-08-1960') 
 INTO PSE1.Kunde VALUES ('50' , 'Elena', 'Davis', 'Sixth Street', '27', '39453', 'Münster', '16-12-2019', 'm', '2', '23-04-1962') 
 INTO PSE1.Kunde VALUES ('51' , 'Sebastian', 'Martinez', 'Third Street', '75', '89351', 'Nuremberg', '30-12-2020', 'm', '6', '12-06-1982') 
 INTO PSE1.Kunde VALUES ('52' , 'Muhammad', 'Anderson', 'Oak Street', '10', '62269', 'Bochum', '26-04-2019', 'm', '9', '04-04-1972') 
 INTO PSE1.Kunde VALUES ('53' , 'Daniel', 'Davis', 'Main Street', '21', '44535', 'Kassel', '12-02-2019', 'm', '2', '18-08-1964') 
 INTO PSE1.Kunde VALUES ('54' , 'Leah', 'Moore', 'Third Street', '25', '35207', 'Mönchengladbach', '04-10-2019', 'm', '9', '14-04-1950') 
 INTO PSE1.Kunde VALUES ('55' , 'Mason', 'Moore', 'Third Street', '90', '49480', 'Saarbrücken', '01-02-2019', 'm', '8', '21-02-2002') 
 INTO PSE1.Kunde VALUES ('56' , 'Ryan', 'Taylor', 'Maple Street', '18', '37584', 'Leverkusen', '09-11-2019', 'f', '12', '13-01-1985') 
 INTO PSE1.Kunde VALUES ('57' , 'Isabella', 'Thomas', 'View Street', '97', '69890', 'Karlsruhe', '06-07-2019', 'f', '3', '03-07-1990') 
 INTO PSE1.Kunde VALUES ('58' , 'Luca', 'Brown', 'Eighth Street', '62', '62762', 'Düsseldorf', '19-09-2019', 'f', '9', '20-03-1990') 
 INTO PSE1.Kunde VALUES ('59' , 'Elena', 'Harris', 'Seventh Street', '39', '11602', 'Karlsruhe', '24-08-2019', 'f', '3', '08-02-1960') 
 INTO PSE1.Kunde VALUES ('60' , 'Evelyn', 'Gonzalez', 'First Street', '52', '61256', 'Hamm', '27-03-2019', 'm', '9', '26-11-1953') 
 INTO PSE1.Kunde VALUES ('61' , 'Daniel', 'Wilson', 'Second Street', '3', '62101', 'Gelsenkirchen', '09-01-2019', 'm', '8', '30-11-1995') 
 INTO PSE1.Kunde VALUES ('62' , 'Ethan', 'Hall', 'Sixth Street', '97', '77828', 'Hamburg', '10-03-2019', 'm', '13', '07-04-1957') 
 INTO PSE1.Kunde VALUES ('63' , 'Lincoln', 'Hall', 'Third Street', '61', '64680', 'Mainz', '12-12-2019', 'f', '9', '02-06-1998') 
 INTO PSE1.Kunde VALUES ('64' , 'Levi', 'Gonzalez', 'Main Street', '47', '47201', 'Duisburg', '04-03-2019', 'f', '1', '08-11-1976') 
 INTO PSE1.Kunde VALUES ('65' , 'Julian', 'Lopez', 'Cedar Street', '18', '32691', 'Halle', '08-07-2019', 'f', '4', '02-12-2003') 
 INTO PSE1.Kunde VALUES ('66' , 'Paisley', 'Thomas', 'Ninth Street', '45', '53422', 'Hanover', '10-03-2019', 'm', '12', '14-06-2002') 
 INTO PSE1.Kunde VALUES ('67' , 'Amelia', 'Davis', 'First Street', '43', '49017', 'Hamburg', '19-12-2019', 'm', '1', '09-01-1972') 
 INTO PSE1.Kunde VALUES ('68' , 'Isaac', 'Taylor', 'Eighth Street', '59', '45841', 'Gelsenkirchen', '06-11-2019', 'f', '9', '03-04-2002') 
 INTO PSE1.Kunde VALUES ('69' , 'Camilla', 'Gonzalez', 'Cedar Street', '55', '80635', 'Stuttgart', '10-08-2019', 'f', '9', '22-07-1960') 
 INTO PSE1.Kunde VALUES ('70' , 'Julian', 'Davis', 'View Street', '43', '14200', 'Dresden', '20-12-2019', 'f', '13', '13-04-1969') 
 INTO PSE1.Kunde VALUES ('71' , 'Julian', 'Brown', 'Second Street', '37', '59583', 'Leipzig', '06-08-2019', 'f', '4', '11-04-1987') 
 INTO PSE1.Kunde VALUES ('72' , 'Olivia', 'Davis', 'Lake Street', '42', '11010', 'Oberhausen', '26-02-2019', 'f', '13', '11-08-1976') 
 INTO PSE1.Kunde VALUES ('73' , 'Harper', 'Wilson', 'Third Street', '9', '62977', 'Kiel', '07-12-2019', 'f', '2', '15-04-2001') 
 INTO PSE1.Kunde VALUES ('74' , 'Olivia', 'Williams', 'Fourth Street', '17', '38913', 'Solingen', '10-05-2019', 'f', '1', '27-07-1987') 
 INTO PSE1.Kunde VALUES ('75' , 'Michael', 'White', 'Second Street', '54', '27675', 'Hagen', '13-10-2019', 'f', '1', '28-08-1994') 
 INTO PSE1.Kunde VALUES ('76' , 'Julian', 'Anderson', 'Elm Street', '12', '96030', 'Kassel', '24-08-2019', 'f', '9', '08-07-1983') 
 INTO PSE1.Kunde VALUES ('77' , 'Evelyn', 'Anderson', 'Eighth Street', '94', '28732', 'Mönchengladbach', '26-09-2019', 'm', '7', '26-10-2001') 
 INTO PSE1.Kunde VALUES ('78' , 'Charlotte', 'Jackson', 'Fourth Street', '92', '91932', 'Augsburg', '25-12-2019', 'm', '7', '07-04-1956') 
 INTO PSE1.Kunde VALUES ('79' , 'Aubrey', 'Taylor', 'Oak Street', '1', '15789', 'Kassel', '15-01-2019', 'f', '5', '28-06-1953') 
 INTO PSE1.Kunde VALUES ('80' , 'Camilla', 'Thompson', 'Cedar Street', '72', '22326', 'Augsburg', '05-07-2019', 'f', '1', '05-10-1970') 
 INTO PSE1.Kunde VALUES ('81' , 'Abigail', 'Moore', 'Pine Street', '4', '78544', 'Bonn', '31-01-2019', 'm', '11', '20-02-1981') 
 INTO PSE1.Kunde VALUES ('82' , 'Leo', 'Taylor', 'Maple Street', '68', '18076', 'Halle', '22-08-2019', 'f', '2', '09-09-1964') 
 INTO PSE1.Kunde VALUES ('83' , 'Caden', 'Harris', 'Second Street', '20', '17720', 'Kassel', '18-08-2019', 'm', '1', '04-07-2000') 
 INTO PSE1.Kunde VALUES ('84' , 'Isaac', 'Williams', 'Elm Street', '23', '62392', 'Augsburg', '21-05-2019', 'f', '5', '27-09-1961') 
 INTO PSE1.Kunde VALUES ('85' , 'Samuel', 'Lewis', 'First Street', '26', '13197', 'Kassel', '04-08-2019', 'm', '13', '26-01-1983') 
 INTO PSE1.Kunde VALUES ('86' , 'Logan', 'Rodriguez', 'Third Street', '48', '56556', 'Essen', '04-11-2019', 'm', '3', '05-02-2004') 
 INTO PSE1.Kunde VALUES ('87' , 'Noah', 'Wilson', 'Park Street', '70', '24608', 'Rostock', '12-07-2019', 'f', '7', '14-01-1983') 
 INTO PSE1.Kunde VALUES ('88' , 'Abigail', 'Johnson', 'Main Street', '56', '28817', 'Osnabrück', '05-04-2019', 'f', '8', '09-10-2004') 
 INTO PSE1.Kunde VALUES ('89' , 'Elijah', 'Hernandez', 'Seventh Street', '59', '93600', 'Magdeburg', '21-08-2019', 'f', '2', '23-01-1965') 
 INTO PSE1.Kunde VALUES ('90' , 'Lucas', 'Jackson', 'Main Street', '78', '71731', 'Braunschweig', '27-06-2019', 'm', '4', '04-06-2001') 
 INTO PSE1.Kunde VALUES ('91' , 'Oliver', 'Robinson', 'Second Street', '19', '83733', 'Wiesbaden', '30-08-2019', 'm', '3', '30-09-1976') 
 INTO PSE1.Kunde VALUES ('92' , 'Mila', 'Jackson', 'Pine Street', '65', '93267', 'Bochum', '31-07-2019', 'f', '8', '18-08-1977') 
 INTO PSE1.Kunde VALUES ('93' , 'Muhammad', 'Jones', 'Cedar Street', '33', '14348', 'Bochum', '02-10-2019', 'f', '13', '24-12-1991') 
 INTO PSE1.Kunde VALUES ('94' , 'Ryan', 'Gonzalez', 'Cedar Street', '96', '87925', 'Mannheim', '17-08-2019', 'f', '13', '15-05-1981') 
 INTO PSE1.Kunde VALUES ('95' , 'Daniel', 'Thomas', 'Sixth Street', '85', '64697', 'Rostock', '27-10-2019', 'f', '9', '12-08-1951') 
 INTO PSE1.Kunde VALUES ('96' , 'Caden', 'Davis', 'Third Street', '13', '54230', 'Bremen', '20-03-2019', 'f', '6', '30-10-1972') 
 INTO PSE1.Kunde VALUES ('97' , 'Amelia', 'Hall', 'View Street', '50', '32928', 'Karlsruhe', '14-09-2019', 'm', '4', '31-10-1978') 
 INTO PSE1.Kunde VALUES ('98' , 'Scarlett', 'Clark', 'Lake Street', '6', '37510', 'Mainz', '31-10-2019', 'f', '4', '08-05-1959') 
 INTO PSE1.Kunde VALUES ('99' , 'Kinsley', 'Walker', 'Third Street', '98', '20767', 'Hanover', '11-10-2019', 'm', '6', '13-09-1997') 
 INTO PSE1.Kunde VALUES ('100' , 'Hannah', 'Garcia', 'Sixth Street', '93', '72148', 'Leverkusen', '11-12-2019', 'm', '3', '27-01-1963') 
 INTO PSE1.Kunde VALUES ('101' , 'Amelia', 'Jackson', 'Ninth Street', '2', '79809', 'Saarbrücken', '06-03-2019', 'f', '7', '31-07-1955') 
 INTO PSE1.Kunde VALUES ('102' , 'Jack', 'Walker', 'Eighth Street', '34', '40909', 'Hamburg', '31-01-2019', 'f', '3', '27-04-1954') 
 INTO PSE1.Kunde VALUES ('103' , 'Harper', 'Jones', 'Third Street', '37', '18875', 'Mülheim an der Ruhr', '24-08-2019', 'm', '8', '09-05-1970') 
 INTO PSE1.Kunde VALUES ('104' , 'Benjamin', 'Johnson', 'Fifth Street', '10', '14732', 'Hamm', '05-12-2019', 'm', '5', '03-06-1965') 
 INTO PSE1.Kunde VALUES ('105' , 'Caden', 'Williams', 'Fifth Street', '50', '79302', 'Mainz', '25-12-2019', 'm', '4', '24-07-1959') 
 INTO PSE1.Kunde VALUES ('106' , 'Ethan', 'Jackson', 'First Street', '57', '43655', 'Oberhausen', '08-04-2019', 'f', '7', '04-11-1972') 
 INTO PSE1.Kunde VALUES ('107' , 'Oliver', 'Wilson', 'Ninth Street', '27', '63899', 'Kassel', '02-07-2019', 'f', '12', '25-12-1989') 
 INTO PSE1.Kunde VALUES ('108' , 'Emilia', 'Hernandez', 'Ninth Street', '87', '23246', 'Krefeld', '24-05-2019', 'f', '11', '04-04-2002') 
 INTO PSE1.Kunde VALUES ('109' , 'Julian', 'Robinson', 'Eighth Street', '64', '72212', 'Wuppertal', '15-10-2019', 'f', '13', '15-10-1981') 
 INTO PSE1.Kunde VALUES ('110' , 'Michael', 'Thompson', 'Main Street', '77', '67471', 'Leipzig', '19-08-2019', 'f', '12', '06-12-1956') 
 INTO PSE1.Kunde VALUES ('111' , 'Eliana', 'White', 'Park Street', '90', '18058', 'Cologne', '14-05-2019', 'm', '7', '19-08-1995') 
 INTO PSE1.Kunde VALUES ('112' , 'Muhammad', 'Martin', 'First Street', '93', '61498', 'Magdeburg', '09-02-2019', 'f', '6', '21-04-1950') 
 INTO PSE1.Kunde VALUES ('113' , 'Gabriel', 'Perez', 'Pine Street', '13', '62036', 'Erfurt', '04-12-2019', 'f', '8', '13-08-1998') 
 INTO PSE1.Kunde VALUES ('114' , 'Charlie', 'Robinson', 'Sixth Street', '33', '71220', 'Dresden', '15-12-2019', 'm', '9', '29-09-1976') 
 INTO PSE1.Kunde VALUES ('115' , 'Kinsley', 'Thompson', 'Oak Street', '29', '16177', 'Hanover', '20-08-2019', 'm', '9', '06-06-1993') 
 INTO PSE1.Kunde VALUES ('116' , 'Liam', 'Lewis', 'Elm Street', '68', '44311', 'Rostock', '13-08-2019', 'm', '7', '22-06-1989') 
 INTO PSE1.Kunde VALUES ('117' , 'Abigail', 'Brown', 'Washington Street', '73', '79326', 'Oldenburg', '11-09-2019', 'm', '11', '02-10-2002') 
 INTO PSE1.Kunde VALUES ('118' , 'Leo', 'Davis', 'Main Street', '42', '86761', 'Bremen', '26-12-2019', 'm', '10', '08-02-1980') 
 INTO PSE1.Kunde VALUES ('119' , 'Caden', 'Clark', 'Elm Street', '45', '63415', 'Kassel', '28-12-2019', 'f', '13', '03-12-1976') 
 INTO PSE1.Kunde VALUES ('120' , 'Alexander', 'Walker', 'Second Street', '1', '38322', 'Dresden', '16-04-2019', 'f', '13', '11-05-1955') 
 INTO PSE1.Kunde VALUES ('121' , 'Caleb', 'Wilson', 'Fifth Street', '86', '82136', 'Nuremberg', '30-01-2019', 'm', '12', '07-07-1993') 
 INTO PSE1.Kunde VALUES ('122' , 'Isaac', 'Lee', 'Seventh Street', '56', '13803', 'Wiesbaden', '25-12-2019', 'm', '12', '15-05-1965') 
 INTO PSE1.Kunde VALUES ('123' , 'Eliana', 'Williams', 'Oak Street', '1', '44825', 'Hamm', '13-12-2019', 'm', '1', '01-10-1967') 
 INTO PSE1.Kunde VALUES ('124' , 'Charlie', 'Lewis', 'View Street', '61', '38938', 'Duisburg', '23-03-2019', 'm', '8', '15-06-1975') 
 INTO PSE1.Kunde VALUES ('125' , 'Matthew', 'Gonzalez', 'Third Street', '32', '47973', 'Stuttgart', '19-02-2019', 'm', '13', '30-12-1972') 
 INTO PSE1.Kunde VALUES ('126' , 'Olivia', 'Taylor', 'Main Street', '45', '68705', 'Krefeld', '07-07-2019', 'm', '3', '02-06-1964') 
 INTO PSE1.Kunde VALUES ('127' , 'Jayden', 'Robinson', 'Elm Street', '81', '15295', 'Bochum', '27-11-2019', 'm', '10', '25-09-1985') 
 INTO PSE1.Kunde VALUES ('128' , 'Julian', 'Thompson', 'First Street', '60', '32768', 'Essen', '12-10-2019', 'f', '12', '15-11-1967') 
 INTO PSE1.Kunde VALUES ('129' , 'Paisley', 'Rodriguez', 'Third Street', '19', '97451', 'Magdeburg', '10-06-2019', 'f', '8', '27-10-1957') 
 INTO PSE1.Kunde VALUES ('130' , 'Colton', 'Robinson', 'Second Street', '46', '96447', 'Magdeburg', '15-02-2019', 'f', '11', '30-10-1989') 
 INTO PSE1.Kunde VALUES ('131' , 'Abigail', 'Thomas', 'Eighth Street', '40', '14649', 'Karlsruhe', '12-10-2019', 'm', '8', '16-11-1950') 
 INTO PSE1.Kunde VALUES ('132' , 'Josiah', 'Taylor', 'Eighth Street', '83', '78622', 'Osnabrück', '29-04-2019', 'm', '4', '08-01-1992') 
 INTO PSE1.Kunde VALUES ('133' , 'Luca', 'Robinson', 'Washington Street', '96', '57231', 'Bremen', '11-11-2019', 'm', '1', '16-05-1987') 
 INTO PSE1.Kunde VALUES ('134' , 'Aaliyah', 'Anderson', 'Maple Street', '82', '73850', 'Augsburg', '13-09-2019', 'f', '5', '07-08-1959') 
 INTO PSE1.Kunde VALUES ('135' , 'Ariana', 'Thomas', 'Eighth Street', '72', '47293', 'Nuremberg', '28-11-2019', 'f', '2', '11-01-1971') 
 INTO PSE1.Kunde VALUES ('136' , 'Emilia', 'Hernandez', 'Main Street', '4', '77985', 'Wiesbaden', '16-08-2019', 'm', '2', '04-10-1988') 
 INTO PSE1.Kunde VALUES ('137' , 'Maverick', 'Martin', 'First Street', '51', '63613', 'Gelsenkirchen', '02-02-2019', 'f', '13', '17-09-1972') 
 INTO PSE1.Kunde VALUES ('138' , 'Nora', 'Johnson', 'First Street', '13', '44543', 'Düsseldorf', '30-08-2019', 'm', '8', '09-08-1979') 
 INTO PSE1.Kunde VALUES ('139' , 'Luke', 'Martinez', 'Cedar Street', '41', '48386', 'Oldenburg', '21-12-2019', 'm', '4', '03-02-1985') 
 INTO PSE1.Kunde VALUES ('140' , 'Carson', 'Jones', 'Second Street', '30', '29240', 'Erfurt', '29-11-2019', 'f', '7', '18-02-1997') 
 INTO PSE1.Kunde VALUES ('141' , 'Mia', 'Davis', 'Washington Street', '83', '42847', 'Wuppertal', '28-03-2019', 'm', '12', '01-08-1993') 
 INTO PSE1.Kunde VALUES ('142' , 'Luca', 'Taylor', 'Eighth Street', '98', '95670', 'Mannheim', '23-03-2019', 'm', '11', '23-01-1961') 
 INTO PSE1.Kunde VALUES ('143' , 'Wyatt', 'Hall', 'Park Street', '66', '75525', 'Freiburg im Breisgau', '03-09-2019', 'm', '3', '11-02-1952') 
 INTO PSE1.Kunde VALUES ('144' , 'Ellie', 'Jackson', 'Fourth Street', '46', '73507', 'Rostock', '09-03-2019', 'f', '3', '23-06-1983') 
 INTO PSE1.Kunde VALUES ('145' , 'Luke', 'White', 'First Street', '34', '40485', 'Oberhausen', '22-12-2019', 'f', '12', '20-01-1983') 
 INTO PSE1.Kunde VALUES ('146' , 'William', 'Clark', 'Eighth Street', '74', '65289', 'Frankfurt am Main', '08-08-2019', 'm', '10', '12-06-1982') 
 INTO PSE1.Kunde VALUES ('147' , 'Isaac', 'Thomas', 'Park Street', '39', '30804', 'Munich', '30-09-2019', 'm', '11', '14-04-1978') 
 INTO PSE1.Kunde VALUES ('148' , 'Luca', 'Hall', 'Cedar Street', '44', '90336', 'Wuppertal', '21-04-2019', 'm', '9', '10-01-1965') 
 INTO PSE1.Kunde VALUES ('149' , 'Eliana', 'Garcia', 'Fourth Street', '50', '31040', 'Mainz', '11-12-2019', 'f', '11', '24-08-1995') 
 INTO PSE1.Kunde VALUES ('150' , 'Miles', 'Moore', 'Sixth Street', '0', '57454', 'Ludwigshafen am Rhein', '22-04-2019', 'm', '4', '05-08-1992') 
 INTO PSE1.Kunde VALUES ('151' , 'Lily', 'Jackson', 'Pine Street', '29', '77907', 'Duisburg', '14-12-2019', 'm', '12', '18-10-1991') 
 INTO PSE1.Kunde VALUES ('152' , 'Wyatt', 'Garcia', 'View Street', '20', '34932', 'Mönchengladbach', '19-06-2019', 'f', '11', '10-11-1973') 
 INTO PSE1.Kunde VALUES ('153' , 'Lucas', 'Garcia', 'Washington Street', '34', '31416', 'Duisburg', '26-10-2019', 'f', '11', '21-09-1999') 
 INTO PSE1.Kunde VALUES ('154' , 'Emma', 'Taylor', 'Third Street', '52', '41165', 'Krefeld', '05-06-2019', 'f', '12', '16-04-1998') 
 INTO PSE1.Kunde VALUES ('155' , 'Josiah', 'Clark', 'Lake Street', '51', '66915', 'Bielefeld', '02-07-2019', 'm', '10', '25-06-1984') 
 INTO PSE1.Kunde VALUES ('156' , 'Aiden', 'Hall', 'Maple Street', '64', '56740', 'Münster', '20-08-2019', 'm', '4', '21-04-1997') 
 INTO PSE1.Kunde VALUES ('157' , 'Ezra', 'Lewis', 'First Street', '77', '55259', 'Dortmund', '28-04-2019', 'f', '13', '11-08-2001') 
 INTO PSE1.Kunde VALUES ('158' , 'Logan', 'Jackson', 'Park Street', '21', '64758', 'Oldenburg', '20-02-2019', 'f', '11', '10-12-1976') 
 INTO PSE1.Kunde VALUES ('159' , 'Leo', 'Gonzalez', 'Washington Street', '71', '62788', 'Solingen', '04-10-2019', 'm', '4', '22-04-1955') 
 INTO PSE1.Kunde VALUES ('160' , 'Carter', 'Johnson', 'Park Street', '91', '67952', 'Munich', '15-08-2019', 'm', '2', '11-07-1974') 
 INTO PSE1.Kunde VALUES ('161' , 'William', 'Wilson', 'Elm Street', '79', '85386', 'Magdeburg', '12-11-2019', 'f', '3', '23-12-1988') 
 INTO PSE1.Kunde VALUES ('162' , 'Liam', 'Walker', 'Fourth Street', '32', '38431', 'Kiel', '29-03-2019', 'f', '10', '30-06-2005') 
 INTO PSE1.Kunde VALUES ('163' , 'Ariana', 'Garcia', 'Elm Street', '12', '16133', 'Rostock', '15-10-2019', 'm', '9', '19-04-1959') 
 INTO PSE1.Kunde VALUES ('164' , 'Jayce', 'Williams', 'Washington Street', '34', '24652', 'Rostock', '04-02-2019', 'm', '13', '12-06-1988') 
 INTO PSE1.Kunde VALUES ('165' , 'Emma', 'Miller', 'Ninth Street', '96', '41284', 'Stuttgart', '24-02-2019', 'm', '6', '12-10-1979') 
