INSERT ALL 
 INTO PSE1.WarenkorbPosition VALUES ('0', '1', '15', '221') 
 INTO PSE1.WarenkorbPosition VALUES ('64', '0', '1604', '265') 
 INTO PSE1.WarenkorbPosition VALUES ('65', '2', '1286', '317') 
 INTO PSE1.WarenkorbPosition VALUES ('66', '2', '1660', '112') 
 INTO PSE1.WarenkorbPosition VALUES ('67', '2', '906', '635') 
 INTO PSE1.WarenkorbPosition VALUES ('68', '2', '401', '191') 
 INTO PSE1.WarenkorbPosition VALUES ('69', '2', '346', '591') 
 INTO PSE1.WarenkorbPosition VALUES ('70', '0', '1342', '69') 
 INTO PSE1.WarenkorbPosition VALUES ('71', '2', '1823', '570') 
 INTO PSE1.WarenkorbPosition VALUES ('72', '2', '68', '53') 
 INTO PSE1.WarenkorbPosition VALUES ('73', '1', '1448', '367') 
 INTO PSE1.WarenkorbPosition VALUES ('74', '0', '1069', '129') 
 INTO PSE1.WarenkorbPosition VALUES ('75', '0', '1401', '521') 
 INTO PSE1.WarenkorbPosition VALUES ('76', '0', '1829', '158') 
 INTO PSE1.WarenkorbPosition VALUES ('77', '2', '826', '539') 
 INTO PSE1.WarenkorbPosition VALUES ('78', '2', '343', '264') 
 INTO PSE1.WarenkorbPosition VALUES ('79', '0', '22', '339') 
 INTO PSE1.WarenkorbPosition VALUES ('80', '1', '1272', '40') 
 INTO PSE1.WarenkorbPosition VALUES ('81', '1', '840', '571') 
 INTO PSE1.WarenkorbPosition VALUES ('82', '1', '1633', '425') 
 INTO PSE1.WarenkorbPosition VALUES ('83', '1', '417', '214') 
 INTO PSE1.WarenkorbPosition VALUES ('84', '1', '281', '152') 
 INTO PSE1.WarenkorbPosition VALUES ('85', '2', '438', '506') 
 INTO PSE1.WarenkorbPosition VALUES ('86', '0', '587', '102') 
 INTO PSE1.WarenkorbPosition VALUES ('87', '0', '363', '21') 
 INTO PSE1.WarenkorbPosition VALUES ('88', '1', '1198', '240') 
 INTO PSE1.WarenkorbPosition VALUES ('89', '2', '1331', '6') 
 INTO PSE1.WarenkorbPosition VALUES ('90', '1', '1712', '183') 
 INTO PSE1.WarenkorbPosition VALUES ('91', '0', '280', '71') 
 INTO PSE1.WarenkorbPosition VALUES ('92', '0', '1689', '580') 
 INTO PSE1.WarenkorbPosition VALUES ('93', '0', '1586', '289') 
 INTO PSE1.WarenkorbPosition VALUES ('94', '2', '662', '546') 
 INTO PSE1.WarenkorbPosition VALUES ('95', '1', '403', '139') 
 INTO PSE1.WarenkorbPosition VALUES ('96', '1', '1373', '137') 
 INTO PSE1.WarenkorbPosition VALUES ('97', '2', '1957', '223') 
 INTO PSE1.WarenkorbPosition VALUES ('98', '2', '1492', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('99', '0', '1261', '418') 
 INTO PSE1.WarenkorbPosition VALUES ('100', '1', '67', '484') 
 INTO PSE1.WarenkorbPosition VALUES ('101', '2', '1178', '432') 
 INTO PSE1.WarenkorbPosition VALUES ('102', '0', '1059', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('103', '1', '1123', '532') 
 INTO PSE1.WarenkorbPosition VALUES ('104', '2', '249', '254') 
 INTO PSE1.WarenkorbPosition VALUES ('105', '1', '464', '214') 
 INTO PSE1.WarenkorbPosition VALUES ('106', '0', '1514', '396') 
 INTO PSE1.WarenkorbPosition VALUES ('107', '0', '1833', '311') 
 INTO PSE1.WarenkorbPosition VALUES ('108', '0', '856', '111') 
 INTO PSE1.WarenkorbPosition VALUES ('109', '0', '650', '474') 
 INTO PSE1.WarenkorbPosition VALUES ('110', '1', '1044', '606') 
 INTO PSE1.WarenkorbPosition VALUES ('111', '0', '1484', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('112', '0', '102', '351') 
 INTO PSE1.WarenkorbPosition VALUES ('113', '0', '1837', '337') 
 INTO PSE1.WarenkorbPosition VALUES ('114', '1', '608', '407') 
 INTO PSE1.WarenkorbPosition VALUES ('115', '2', '1275', '383') 
 INTO PSE1.WarenkorbPosition VALUES ('116', '2', '1851', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('117', '2', '87', '383') 
 INTO PSE1.WarenkorbPosition VALUES ('118', '2', '1990', '87') 
 INTO PSE1.WarenkorbPosition VALUES ('119', '2', '1246', '137') 
 INTO PSE1.WarenkorbPosition VALUES ('120', '2', '1888', '576') 
 INTO PSE1.WarenkorbPosition VALUES ('121', '1', '90', '448') 
 INTO PSE1.WarenkorbPosition VALUES ('122', '1', '504', '451') 
 INTO PSE1.WarenkorbPosition VALUES ('123', '0', '413', '619') 
 INTO PSE1.WarenkorbPosition VALUES ('124', '0', '1735', '4') 
 INTO PSE1.WarenkorbPosition VALUES ('125', '2', '719', '215') 
 INTO PSE1.WarenkorbPosition VALUES ('126', '2', '1179', '30') 
 INTO PSE1.WarenkorbPosition VALUES ('127', '1', '715', '215') 
 INTO PSE1.WarenkorbPosition VALUES ('128', '2', '555', '594') 
 INTO PSE1.WarenkorbPosition VALUES ('129', '2', '177', '279') 
 INTO PSE1.WarenkorbPosition VALUES ('130', '0', '1922', '25') 
 INTO PSE1.WarenkorbPosition VALUES ('131', '2', '873', '222') 
 INTO PSE1.WarenkorbPosition VALUES ('132', '0', '1800', '563') 
 INTO PSE1.WarenkorbPosition VALUES ('133', '2', '1044', '484') 
 INTO PSE1.WarenkorbPosition VALUES ('134', '2', '1124', '24') 
 INTO PSE1.WarenkorbPosition VALUES ('135', '1', '418', '224') 
 INTO PSE1.WarenkorbPosition VALUES ('136', '2', '1766', '227') 
 INTO PSE1.WarenkorbPosition VALUES ('137', '0', '748', '118') 
 INTO PSE1.WarenkorbPosition VALUES ('138', '1', '315', '491') 
 INTO PSE1.WarenkorbPosition VALUES ('139', '2', '1561', '615') 
 INTO PSE1.WarenkorbPosition VALUES ('140', '2', '704', '281') 
 INTO PSE1.WarenkorbPosition VALUES ('141', '2', '278', '323') 
 INTO PSE1.WarenkorbPosition VALUES ('142', '0', '1439', '514') 
 INTO PSE1.WarenkorbPosition VALUES ('143', '0', '612', '32') 
 INTO PSE1.WarenkorbPosition VALUES ('144', '0', '505', '287') 
 INTO PSE1.WarenkorbPosition VALUES ('145', '0', '1439', '443') 
 INTO PSE1.WarenkorbPosition VALUES ('146', '2', '1128', '502') 
 INTO PSE1.WarenkorbPosition VALUES ('147', '0', '1068', '308') 
 INTO PSE1.WarenkorbPosition VALUES ('148', '2', '1779', '288') 
 INTO PSE1.WarenkorbPosition VALUES ('149', '2', '52', '413') 
 INTO PSE1.WarenkorbPosition VALUES ('150', '1', '1092', '2') 
 INTO PSE1.WarenkorbPosition VALUES ('151', '2', '248', '571') 
 INTO PSE1.WarenkorbPosition VALUES ('152', '0', '933', '365') 
 INTO PSE1.WarenkorbPosition VALUES ('153', '0', '1499', '375') 
 INTO PSE1.WarenkorbPosition VALUES ('154', '0', '1625', '85') 
 INTO PSE1.WarenkorbPosition VALUES ('155', '1', '900', '521') 
 INTO PSE1.WarenkorbPosition VALUES ('156', '0', '1937', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('157', '2', '231', '233') 
 INTO PSE1.WarenkorbPosition VALUES ('158', '0', '754', '263') 
 INTO PSE1.WarenkorbPosition VALUES ('159', '0', '75', '320') 
 INTO PSE1.WarenkorbPosition VALUES ('160', '1', '1624', '83') 
 INTO PSE1.WarenkorbPosition VALUES ('161', '0', '1931', '552') 
 INTO PSE1.WarenkorbPosition VALUES ('162', '1', '600', '119') 
 INTO PSE1.WarenkorbPosition VALUES ('163', '2', '139', '531') 
 INTO PSE1.WarenkorbPosition VALUES ('164', '1', '1783', '82') 
 INTO PSE1.WarenkorbPosition VALUES ('165', '2', '1122', '434') 
 INTO PSE1.WarenkorbPosition VALUES ('166', '1', '1581', '393') 
 INTO PSE1.WarenkorbPosition VALUES ('167', '1', '68', '625') 
 INTO PSE1.WarenkorbPosition VALUES ('168', '1', '1032', '244') 
 INTO PSE1.WarenkorbPosition VALUES ('169', '0', '946', '89') 
 INTO PSE1.WarenkorbPosition VALUES ('170', '2', '1095', '437') 
 INTO PSE1.WarenkorbPosition VALUES ('171', '2', '958', '64') 
 INTO PSE1.WarenkorbPosition VALUES ('172', '1', '1323', '404') 
 INTO PSE1.WarenkorbPosition VALUES ('173', '1', '298', '176') 
 INTO PSE1.WarenkorbPosition VALUES ('174', '1', '108', '490') 
 INTO PSE1.WarenkorbPosition VALUES ('175', '2', '1815', '236') 
 INTO PSE1.WarenkorbPosition VALUES ('176', '1', '1665', '175') 
 INTO PSE1.WarenkorbPosition VALUES ('177', '1', '1625', '19') 
 INTO PSE1.WarenkorbPosition VALUES ('178', '0', '637', '173') 
 INTO PSE1.WarenkorbPosition VALUES ('179', '1', '641', '252') 
 INTO PSE1.WarenkorbPosition VALUES ('180', '0', '133', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('181', '0', '406', '193') 
 INTO PSE1.WarenkorbPosition VALUES ('182', '2', '1374', '453') 
 INTO PSE1.WarenkorbPosition VALUES ('183', '0', '205', '268') 
 INTO PSE1.WarenkorbPosition VALUES ('184', '0', '809', '247') 
 INTO PSE1.WarenkorbPosition VALUES ('185', '2', '1052', '378') 
 INTO PSE1.WarenkorbPosition VALUES ('186', '2', '1200', '535') 
 INTO PSE1.WarenkorbPosition VALUES ('187', '0', '376', '460') 
 INTO PSE1.WarenkorbPosition VALUES ('188', '1', '710', '433') 
 INTO PSE1.WarenkorbPosition VALUES ('189', '0', '417', '512') 
 INTO PSE1.WarenkorbPosition VALUES ('190', '0', '118', '485') 
 INTO PSE1.WarenkorbPosition VALUES ('191', '2', '1813', '633') 
 INTO PSE1.WarenkorbPosition VALUES ('192', '2', '1765', '322') 
 INTO PSE1.WarenkorbPosition VALUES ('193', '1', '1041', '84') 
 INTO PSE1.WarenkorbPosition VALUES ('194', '0', '744', '213') 
 INTO PSE1.WarenkorbPosition VALUES ('195', '0', '849', '623') 
 INTO PSE1.WarenkorbPosition VALUES ('196', '0', '1525', '133') 
 INTO PSE1.WarenkorbPosition VALUES ('197', '2', '113', '571') 
 INTO PSE1.WarenkorbPosition VALUES ('198', '2', '1257', '307') 
 INTO PSE1.WarenkorbPosition VALUES ('199', '1', '1874', '260') 
 INTO PSE1.WarenkorbPosition VALUES ('200', '1', '240', '333') 
 INTO PSE1.WarenkorbPosition VALUES ('201', '2', '916', '363') 
 INTO PSE1.WarenkorbPosition VALUES ('202', '0', '1687', '293') 
 INTO PSE1.WarenkorbPosition VALUES ('203', '2', '1661', '629') 
 INTO PSE1.WarenkorbPosition VALUES ('204', '2', '1273', '474') 
 INTO PSE1.WarenkorbPosition VALUES ('205', '2', '1917', '387') 
 INTO PSE1.WarenkorbPosition VALUES ('206', '0', '1522', '276') 
 INTO PSE1.WarenkorbPosition VALUES ('207', '0', '98', '150') 
 INTO PSE1.WarenkorbPosition VALUES ('208', '2', '1556', '554') 
 INTO PSE1.WarenkorbPosition VALUES ('209', '1', '514', '475') 
 INTO PSE1.WarenkorbPosition VALUES ('210', '0', '1442', '472') 
 INTO PSE1.WarenkorbPosition VALUES ('211', '2', '821', '122') 
 INTO PSE1.WarenkorbPosition VALUES ('212', '2', '418', '114') 
 INTO PSE1.WarenkorbPosition VALUES ('213', '0', '1259', '437') 
 INTO PSE1.WarenkorbPosition VALUES ('214', '2', '880', '568') 
 INTO PSE1.WarenkorbPosition VALUES ('215', '1', '1753', '470') 
 INTO PSE1.WarenkorbPosition VALUES ('216', '1', '330', '312') 
 INTO PSE1.WarenkorbPosition VALUES ('217', '0', '1477', '182') 
 INTO PSE1.WarenkorbPosition VALUES ('218', '0', '1270', '597') 
 INTO PSE1.WarenkorbPosition VALUES ('219', '2', '1711', '630') 
 INTO PSE1.WarenkorbPosition VALUES ('220', '1', '1404', '432') 
 INTO PSE1.WarenkorbPosition VALUES ('221', '0', '905', '636') 
 INTO PSE1.WarenkorbPosition VALUES ('222', '2', '1379', '110') 
 INTO PSE1.WarenkorbPosition VALUES ('223', '0', '1795', '541') 
 INTO PSE1.WarenkorbPosition VALUES ('224', '1', '1856', '151') 
 INTO PSE1.WarenkorbPosition VALUES ('225', '2', '1916', '7') 
 INTO PSE1.WarenkorbPosition VALUES ('226', '0', '1468', '167') 
 INTO PSE1.WarenkorbPosition VALUES ('227', '1', '1684', '277') 
 INTO PSE1.WarenkorbPosition VALUES ('228', '0', '1510', '184') 
 INTO PSE1.WarenkorbPosition VALUES ('229', '0', '450', '521') 
 INTO PSE1.WarenkorbPosition VALUES ('230', '2', '513', '497') 
 INTO PSE1.WarenkorbPosition VALUES ('231', '0', '1153', '89') 
 INTO PSE1.WarenkorbPosition VALUES ('232', '0', '1729', '577') 
 INTO PSE1.WarenkorbPosition VALUES ('233', '2', '1734', '86') 
 INTO PSE1.WarenkorbPosition VALUES ('234', '2', '1651', '562') 
 INTO PSE1.WarenkorbPosition VALUES ('235', '2', '1824', '186') 
 INTO PSE1.WarenkorbPosition VALUES ('236', '0', '615', '377') 
 INTO PSE1.WarenkorbPosition VALUES ('237', '2', '570', '501') 
 INTO PSE1.WarenkorbPosition VALUES ('238', '0', '1880', '430') 
 INTO PSE1.WarenkorbPosition VALUES ('239', '0', '31', '420') 
 INTO PSE1.WarenkorbPosition VALUES ('240', '0', '1824', '199') 
 INTO PSE1.WarenkorbPosition VALUES ('241', '0', '1924', '519') 
 INTO PSE1.WarenkorbPosition VALUES ('242', '2', '1503', '309') 
 INTO PSE1.WarenkorbPosition VALUES ('243', '2', '990', '630') 
 INTO PSE1.WarenkorbPosition VALUES ('244', '0', '1218', '47') 
 INTO PSE1.WarenkorbPosition VALUES ('245', '0', '940', '351') 
 INTO PSE1.WarenkorbPosition VALUES ('246', '0', '216', '546') 
 INTO PSE1.WarenkorbPosition VALUES ('247', '0', '914', '40') 
 INTO PSE1.WarenkorbPosition VALUES ('248', '1', '1654', '597') 
 INTO PSE1.WarenkorbPosition VALUES ('249', '0', '1524', '150') 
 INTO PSE1.WarenkorbPosition VALUES ('250', '2', '409', '70') 
 INTO PSE1.WarenkorbPosition VALUES ('251', '1', '771', '170') 
 INTO PSE1.WarenkorbPosition VALUES ('252', '0', '344', '315') 
 INTO PSE1.WarenkorbPosition VALUES ('253', '2', '373', '115') 
 INTO PSE1.WarenkorbPosition VALUES ('254', '1', '638', '205') 
 INTO PSE1.WarenkorbPosition VALUES ('255', '2', '184', '244') 
 INTO PSE1.WarenkorbPosition VALUES ('256', '2', '1744', '558') 
 INTO PSE1.WarenkorbPosition VALUES ('257', '1', '1876', '65') 
 INTO PSE1.WarenkorbPosition VALUES ('258', '1', '79', '29') 
 INTO PSE1.WarenkorbPosition VALUES ('259', '2', '1487', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('260', '1', '415', '234') 
 INTO PSE1.WarenkorbPosition VALUES ('261', '2', '1909', '547') 
 INTO PSE1.WarenkorbPosition VALUES ('262', '0', '738', '62') 
 INTO PSE1.WarenkorbPosition VALUES ('263', '0', '535', '32') 
 INTO PSE1.WarenkorbPosition VALUES ('264', '1', '1256', '15') 
 INTO PSE1.WarenkorbPosition VALUES ('265', '0', '447', '84') 
 INTO PSE1.WarenkorbPosition VALUES ('266', '1', '1187', '143') 
 INTO PSE1.WarenkorbPosition VALUES ('267', '1', '1607', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('268', '1', '172', '40') 
 INTO PSE1.WarenkorbPosition VALUES ('269', '2', '1524', '583') 
 INTO PSE1.WarenkorbPosition VALUES ('270', '1', '1459', '194') 
 INTO PSE1.WarenkorbPosition VALUES ('271', '0', '726', '369') 
 INTO PSE1.WarenkorbPosition VALUES ('272', '2', '250', '219') 
 INTO PSE1.WarenkorbPosition VALUES ('273', '2', '731', '202') 
 INTO PSE1.WarenkorbPosition VALUES ('274', '0', '1295', '421') 
 INTO PSE1.WarenkorbPosition VALUES ('275', '0', '483', '77') 
 INTO PSE1.WarenkorbPosition VALUES ('276', '1', '820', '6') 
 INTO PSE1.WarenkorbPosition VALUES ('277', '2', '301', '437') 
 INTO PSE1.WarenkorbPosition VALUES ('278', '1', '31', '598') 
 INTO PSE1.WarenkorbPosition VALUES ('279', '2', '512', '233') 
 INTO PSE1.WarenkorbPosition VALUES ('280', '1', '763', '431') 
 INTO PSE1.WarenkorbPosition VALUES ('281', '0', '911', '426') 
 INTO PSE1.WarenkorbPosition VALUES ('282', '0', '293', '271') 
 INTO PSE1.WarenkorbPosition VALUES ('283', '1', '354', '238') 
 INTO PSE1.WarenkorbPosition VALUES ('284', '2', '1890', '467') 
 INTO PSE1.WarenkorbPosition VALUES ('285', '2', '1218', '616') 
 INTO PSE1.WarenkorbPosition VALUES ('286', '2', '1073', '484') 
 INTO PSE1.WarenkorbPosition VALUES ('287', '2', '1156', '118') 
 INTO PSE1.WarenkorbPosition VALUES ('288', '2', '430', '591') 
 INTO PSE1.WarenkorbPosition VALUES ('289', '2', '433', '63') 
 INTO PSE1.WarenkorbPosition VALUES ('290', '1', '955', '437') 
 INTO PSE1.WarenkorbPosition VALUES ('291', '2', '1873', '243') 
 INTO PSE1.WarenkorbPosition VALUES ('292', '1', '899', '476') 
 INTO PSE1.WarenkorbPosition VALUES ('293', '1', '1534', '74') 
 INTO PSE1.WarenkorbPosition VALUES ('294', '1', '646', '105') 
 INTO PSE1.WarenkorbPosition VALUES ('295', '0', '1996', '182') 
 INTO PSE1.WarenkorbPosition VALUES ('296', '1', '263', '13') 
 INTO PSE1.WarenkorbPosition VALUES ('297', '2', '305', '46') 
 INTO PSE1.WarenkorbPosition VALUES ('298', '1', '420', '177') 
 INTO PSE1.WarenkorbPosition VALUES ('299', '1', '1845', '174') 
 INTO PSE1.WarenkorbPosition VALUES ('300', '2', '1243', '486') 
 INTO PSE1.WarenkorbPosition VALUES ('301', '0', '1006', '218') 
 INTO PSE1.WarenkorbPosition VALUES ('302', '0', '1767', '543') 
 INTO PSE1.WarenkorbPosition VALUES ('303', '1', '1719', '509') 
 INTO PSE1.WarenkorbPosition VALUES ('304', '1', '1128', '465') 
 INTO PSE1.WarenkorbPosition VALUES ('305', '1', '36', '24') 
 INTO PSE1.WarenkorbPosition VALUES ('306', '1', '1238', '473') 
 INTO PSE1.WarenkorbPosition VALUES ('307', '2', '845', '129') 
 INTO PSE1.WarenkorbPosition VALUES ('308', '1', '1852', '386') 
 INTO PSE1.WarenkorbPosition VALUES ('309', '2', '389', '146') 
 INTO PSE1.WarenkorbPosition VALUES ('310', '1', '1763', '153') 
 INTO PSE1.WarenkorbPosition VALUES ('311', '2', '1708', '620') 
 INTO PSE1.WarenkorbPosition VALUES ('312', '1', '407', '545') 
 INTO PSE1.WarenkorbPosition VALUES ('313', '2', '1496', '86') 
 INTO PSE1.WarenkorbPosition VALUES ('314', '2', '776', '614') 
 INTO PSE1.WarenkorbPosition VALUES ('315', '0', '139', '137') 
 INTO PSE1.WarenkorbPosition VALUES ('316', '2', '145', '175') 
 INTO PSE1.WarenkorbPosition VALUES ('317', '1', '1283', '216') 
 INTO PSE1.WarenkorbPosition VALUES ('318', '2', '1867', '316') 
 INTO PSE1.WarenkorbPosition VALUES ('319', '0', '519', '524') 
 INTO PSE1.WarenkorbPosition VALUES ('320', '0', '20', '277') 
 INTO PSE1.WarenkorbPosition VALUES ('321', '0', '1199', '377') 
 INTO PSE1.WarenkorbPosition VALUES ('322', '2', '424', '357') 
 INTO PSE1.WarenkorbPosition VALUES ('323', '1', '645', '553') 
 INTO PSE1.WarenkorbPosition VALUES ('324', '2', '617', '205') 
 INTO PSE1.WarenkorbPosition VALUES ('325', '1', '1076', '102') 
 INTO PSE1.WarenkorbPosition VALUES ('326', '1', '296', '242') 
 INTO PSE1.WarenkorbPosition VALUES ('327', '1', '1965', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('328', '1', '1405', '507') 
 INTO PSE1.WarenkorbPosition VALUES ('329', '0', '413', '448') 
 INTO PSE1.WarenkorbPosition VALUES ('330', '2', '173', '420') 
 INTO PSE1.WarenkorbPosition VALUES ('331', '0', '1807', '437') 
 INTO PSE1.WarenkorbPosition VALUES ('332', '1', '1215', '34') 
 INTO PSE1.WarenkorbPosition VALUES ('333', '1', '550', '589') 
 INTO PSE1.WarenkorbPosition VALUES ('334', '1', '978', '432') 
 INTO PSE1.WarenkorbPosition VALUES ('335', '0', '1775', '387') 
 INTO PSE1.WarenkorbPosition VALUES ('336', '2', '1648', '91') 
 INTO PSE1.WarenkorbPosition VALUES ('337', '0', '1545', '519') 
 INTO PSE1.WarenkorbPosition VALUES ('338', '0', '1052', '399') 
 INTO PSE1.WarenkorbPosition VALUES ('339', '0', '1723', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('340', '2', '1848', '318') 
 INTO PSE1.WarenkorbPosition VALUES ('341', '1', '1426', '34') 
 INTO PSE1.WarenkorbPosition VALUES ('342', '1', '8', '399') 
 INTO PSE1.WarenkorbPosition VALUES ('343', '1', '377', '491') 
 INTO PSE1.WarenkorbPosition VALUES ('344', '1', '940', '467') 
 INTO PSE1.WarenkorbPosition VALUES ('345', '0', '58', '418') 
 INTO PSE1.WarenkorbPosition VALUES ('346', '2', '892', '298') 
 INTO PSE1.WarenkorbPosition VALUES ('347', '1', '1424', '61') 
 INTO PSE1.WarenkorbPosition VALUES ('348', '0', '909', '278') 
 INTO PSE1.WarenkorbPosition VALUES ('349', '0', '1450', '173') 
 INTO PSE1.WarenkorbPosition VALUES ('350', '2', '1996', '63') 
 INTO PSE1.WarenkorbPosition VALUES ('351', '2', '1687', '171') 
 INTO PSE1.WarenkorbPosition VALUES ('352', '1', '768', '225') 
 INTO PSE1.WarenkorbPosition VALUES ('353', '0', '1954', '555') 
 INTO PSE1.WarenkorbPosition VALUES ('354', '0', '426', '391') 
 INTO PSE1.WarenkorbPosition VALUES ('355', '0', '943', '394') 
 INTO PSE1.WarenkorbPosition VALUES ('356', '1', '923', '398') 
 INTO PSE1.WarenkorbPosition VALUES ('357', '2', '935', '215') 
 INTO PSE1.WarenkorbPosition VALUES ('358', '0', '171', '212') 
 INTO PSE1.WarenkorbPosition VALUES ('359', '0', '284', '618') 
 INTO PSE1.WarenkorbPosition VALUES ('360', '2', '1896', '299') 
 INTO PSE1.WarenkorbPosition VALUES ('361', '2', '804', '48') 
 INTO PSE1.WarenkorbPosition VALUES ('362', '1', '898', '375') 
 INTO PSE1.WarenkorbPosition VALUES ('363', '0', '986', '346') 
 INTO PSE1.WarenkorbPosition VALUES ('364', '0', '982', '215') 
 INTO PSE1.WarenkorbPosition VALUES ('365', '0', '799', '328') 
 INTO PSE1.WarenkorbPosition VALUES ('366', '0', '358', '217') 
 INTO PSE1.WarenkorbPosition VALUES ('367', '0', '1215', '406') 
 INTO PSE1.WarenkorbPosition VALUES ('368', '2', '914', '95') 
 INTO PSE1.WarenkorbPosition VALUES ('369', '1', '24', '92') 
 INTO PSE1.WarenkorbPosition VALUES ('370', '1', '625', '543') 
